"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix"
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.370127504554,0.216339570972,0.111788034439,0.0697660446167,1,[[ 223    0 1607]  [  67    0 1763]  [  21    0 1809]],[[  32    0  420]  [  81    0 1182]  [  34    0  442]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.409289617486,0.471474212688,0.136425018311,0.0706980228424,4,[[ 222 1466  142]  [  67 1493  270]  [  20 1278  532]],[[ 30 319 103]  [ 78 906 279]  [ 33 346  97]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.410382513661,0.464628023733,0.154200077057,0.0719890594482,11,[[ 222 1451  157]  [  67 1470  293]  [  19 1250  561]],[[ 29 300 123]  [ 78 871 314]  [ 33 325 118]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.439344262295,0.314011866728,0.211530923843,0.0832779407501,27,[[1386  293  151]  [1078  468  284]  [ 925  347  558]],[[208 129 115]  [599 367 297]  [221 142 113]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.442258652095,0.363304427202,0.386054039001,0.11910200119,63,[[1284  379  167]  [ 967  574  289]  [ 853  407  570]],[[152 198 102]  [455 550 258]  [171 211  94]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.499635701275,0.329529895025,0.798082828522,0.201229095459,146,[[908 591 331]  [502 919 409]  [387 527 916]],[[104 177 171]  [319 449 495]  [114 193 169]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.525683060109,0.324509356458,2.08300805092,0.422634840012,336,[[964 548 318]  [497 950 383]  [301 557 972]],[[113 157 182]  [359 437 467]  [129 186 161]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.531147540984,0.310816978549,4.82889413834,0.863379001617,774,[[ 947  577  306]  [ 469  965  396]  [ 262  564 1004]],[[121 153 178]  [364 392 507]  [135 173 168]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.53825136612,0.341853035144,11.658427,1.84415507317,1779,[[ 936  583  311]  [ 428 1047  355]  [ 291  567  972]],[[116 174 162]  [341 471 451]  [114 200 162]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.370127504554,0.216339570972,0.00144100189209,0.000312805175781,1,[[ 223    0 1607]  [  67    0 1763]  [  21    0 1809]],[[  32    0  420]  [  81    0 1182]  [  34    0  442]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.409653916211,0.471017800091,0.00188803672791,0.000470876693726,4,[[ 223 1466  141]  [  66 1494  270]  [  20 1278  532]],[[ 31 319 102]  [ 79 905 279]  [ 33 347  96]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.412932604736,0.473756275673,0.00410199165344,0.000603914260864,11,[[ 225 1456  149]  [  66 1503  261]  [  20 1271  539]],[[ 32 303 117]  [ 80 893 290]  [ 33 330 113]]
